genre,name,price,rank,rating,review_1,review_2,safety,total_review
Fast Food,Burger Joys - Central,$$ - $$$,12.0,5.0,“Delicious Burgers”,“Signature Double Cheeseburger Sure enou...”,,129
"Chinese, Asian",Tin Lung Heen,$$$$,13.0,4.5,"“The foods are stunning and we especially recommend the bbq pork, the coconut...”","“Highly recommend the Iberian Pork (pre-order) and Peking Duck, which is prepa...”",,"1,493"
"Bar, Asian",Cruise,$$ - $$$,14.0,4.5,“Great food with sea view!”,“Wonderful lunch- superb food and...”,Taking safety measures,117
"Japanese, Diner",Nagasakayaki,$$ - $$$,15.0,4.5,“Nice Sushi”,"“Had a great experience, loved the fatty tuna and the yellowtail sashimi.”",,232
"American, Bar",Wingman,$$ - $$$,16.0,5.0,“Best wings • Good deal lunch”,“... 🍠🍟Sweet Potato Fries 甜薯薯條 份量超滿足🤣...”,,129
"Steakhouse, Brazilian",BRAZA Churrascaria Brazilian Steakhouse,$$ - $$$,17.0,4.5,“The churrasco that comes around is fres...”,“pork sausage was really juicy and super...”,,"1,063"
"Steakhouse, Seafood",The Oyster House,$$ - $$$,18.0,4.5,“... and squid spaghetti US pork chop”,“... nice as the bone was easily removed...”,,195
"Bar, International",The Lounge & Bar,$$$$,19.0,4.5,“Great service in The Lounge and Bar”,“Great bar”,,"1,265"
"American, Bar",Burger Joys,$$ - $$$,20.0,4.5,“我們兩人叫了一份Single Burger和一份Double Cheeseburger。分別是一塊牛肉或是兩塊而已。 由於食材好新鮮，漢堡扒很juicy。...”,“... burger along with a side of Cajun fries and some buffalo chicken wings.”,,336
"Bar, Asian",Veda,$$ - $$$,21.0,4.5,“Don’t miss the naan pizza and cheesecake”,“Kathmandu Momos could have passed for high end dumplings or ravioli - amazing...”,,152
"Seafood, Fusion",Beauty in The Pot,$$ - $$$,22.0,5.0,“The noodles go well in the spicy soup and they have a nice chew to it.”,“... restaurant that was originated from Singapore and expanded to Hong Kong.”,,74
"Chinese, Deli",Grand Ding House,$$ - $$$,23.0,5.0,“Nice decor High quality hotpot@Kwun Tong...”,“Nice hotpot in kwun tong”,,136
"Japanese, Sushi",Chotto Maki,$$ - $$$,24.0,5.0,“sushi rolls reminds me of home”,“今晚夜晚趕住上Online堂，諗住簡簡單單食個dinner就去咗呢度，Chotto Maki。落order好方便，然後取餐亦都好快。 叫咗個Spice M...”,,77
"Mexican, Latin",Te Quiero Mucho,$$ - $$$,25.0,4.5,"“Here again, she recommend me some tacos and a lovely salad, perfect combinati...”","“... all you can eat tacos/tostadas/salad (from a reduced list vs a la carte),...”",,298
"Bar, Seafood",Zeng,$$ - $$$,26.0,4.5,“... Japanese cheesecake 日式芝士蛋糕幾香甜😋食落有好濃郁嘅芝士味☺️而且幾香滑👍🏻 Creme Brûlée 法式焦糖布甸表...”,“Pan-Fried Cod ($168) 呢個鱈魚不得了👍🏻好嫩好滑，鮮味十足😍如果覺得調味唔夠，可以加埋魚下面嘅配菜一齊食，或者點碟邊嘅汁加重返啲...”,,164
"Japanese, Seafood",Akita Hamayaki,$$ - $$$,27.0,5.0,“... too..thanks to his big hand  😆Haha we had them half grilled and sashimi.”,"“Akita Hamayaki was a Japanese restaurant, famous for their grilled food.”",,198
"French, European",ODELICE (Tsim Sha Tsui),$$ - $$$,28.0,4.5,“細細碗岩岩好！個烤雞肉牛油果沙律都大碗下，2人share岩岩好！ 最後dessert order左芒果，椰絲，雪糕French crepes，薄薄的Fre...”,"“Decent food, nice cocktails and great crepes brightened up our day!!”",,274
"Italian, Pizza",Capo,$$ - $$$,29.0,4.5,"“Food was okay, the service”",“The Best Italian in HK”,,923
"Chinese, Asian",Man Wah,$$$$,30.0,4.5,"“Outstanding service, outstanding Peking Duck”","“I particularly liked the wagyu beef puff, the stir fried turnip cake with XO...”",,732
French,Le Reve,$$$$,31.0,4.5,“An unforgettable dinner”,“A pleasant & enjoyable lunch at Le Reve”,,147
"Fusion, Cafe",Mamaday Cafe,$$ - $$$,32.0,4.5,“-May disa”,“A quirky cafe worth trying again”,,304
"Italian, Chinese",Osteria Marzia,$$ - $$$,33.0,4.5,"“Timing and temperature produced the flawless al dente texture, Boston lobster...”","“We ordered the razor clams with salsa verde (delicate and flavourful), follow...”",,199
"American, Bar",Burger Joys (Tai Yik House),$$ - $$$,34.0,4.5,"“Average buffalo wings, incredible every...”",“Amazing burgers and wings”,,147
"Chinese, Asian",Check-in Taipei,$$ - $$$,35.0,4.5,“... Signature Crispy Chicken with Truff...”,“🥟麻婆豆腐手工餃 $72 Ma Po Tofu Dumplings 麻婆豆腐...”,,227
,Komune,$$ - $$$,36.0,4.5,"“Nice, vibrant place”",“Amazing staff”,,324
"French, European",VEA Restaurant,$$$$,37.0,4.5,“... of the best tasting menu I have had”,“... in his 8-course tasting menu.”,,250
"Seafood, Asian",Milu Thai Restaurant,$$ - $$$,38.0,4.5,“Good Thai food with a Chinese twist”,“The green curry was aromatic and delicious; and with a hint of coconut flavor...”,,149
"Peruvian, Latin",Ichu,$$$$,39.0,4.5,"“... Chives) As well as ceviche, the beef short rib COSTILLAS DE RES was so so...”","“The set menu is great incl wagnu, sea bass and lamb.”",,297
Chinese,Dynasty,$$$$,40.0,4.5,“... restaurant with great BBQ pork(Chasiu)”,“Don't miss its peking duck (crispy skin...”,,377
"Italian, Mediterranean",La Brata,$$ - $$$,41.0,4.5,“We had shared platters and for me the duck ragu and the burrata mozzarella ch...”,"“... ordered a la carte the burrata, eggplant parmesan and duck ragu tagliatelle.”",,349
"French, European",Caprice (Central),$$$$,42.0,4.5,“五道菜的廚師發板”,“The best experience in HK!”,Taking safety measures,922
"Italian, European",Pici Pasta Bar Tsim Sha Tsui,$$ - $$$,43.0,4.5,“I love Pici and I would highly recommen...”,“Must try their creamy Tiramisu!”,,116
"American, Steakhouse",Nathanhouse,$$ - $$$,44.0,4.5,“... Lobster Bisque $128 餐湯點了經典龍蝦湯，此湯沒有好...”,"“second dish then arrived, lobster 🦞 so...”",,94
"Steakhouse, Latin",Tango Argentinian Steak House,$$ - $$$,45.0,4.5,"“A friend recommended Tango for a nice and juicy piece of beef, and I was righ...”","“... exquisite being my favorite, the beef tongue, and on the other hand Ryan ...”",,710
"Italian, Steakhouse",Bistecca Italian Steak House,$$ - $$$,46.0,4.5,"“... the truffle mac n cheese, the cheese salad and the tiramisu were tasty too.”",“The rib eye was delicious and the tiramisu/cheesecake was sweet but not too o...”,,718
International,Clipper Lounge,$$$$,47.0,4.5,“Smoked salmon of the year!”,"“... hainan chicken rice, grilled salmon, and vegetable Wellington for the veg...”",Taking safety measures,644
"Steakhouse, Deli",Feather & Bone - Sai Ying Pun,$$ - $$$,48.0,4.5,"“The menu covering beef, lamb, pork, poultry, burgers and seafood.”",“The beef burger was exquisite and the service top notch.”,,240
"Asian, Taiwanese",b+bc cafe - Tseung Kwan O,$,49.0,4.5,“台灣菜❤️ 平價抵食之選🥢”,“Fruit drinks recommended”,,127
"Japanese, Asian",Teppanyaki Sessyu,$$ - $$$,50.0,4.5,“I top up $30 for the beef changed to Wa...”,“鐵板燒 ~ 吃得可口又實際”,,112
"Italian, European",DiVino Wine Bar & Restaurant,$$ - $$$,51.0,4.5,“Food and Wine heaven”,“Sitting nearby the terrace is relaxing and romantic.”,,403
"French, Steakhouse",The Grill Room,$$ - $$$,52.0,4.5,“Delish ribs”,“... From The Sea - ▪ Grilled Tuna · Steak - $188 ▫ 另一招牌作品「燒吞拿魚扒·香草意大利黃瓜」 充滿驚喜...”,,284
Contemporary,Amber,$$$$,53.0,4.5,"“Next, ebisu oyster over a plankton gel with organic kale, seawater & organic...”",“The full Amber experience was excellent but the Uni and the beef were outstan...”,,"1,075"
"Japanese, Wine Bar",SOMM - The Landmark Mandarin Oriental,$$$$,54.0,5.0,"“Both of dishes was amazing, i can say it was the BEST beef tatare i’ve ever t...”","“Waiter highly recommended the abinao chocolate souffle with cacao sorbet , wh...”",,71
"Brew Pub, Bar",65 Peel,$$ - $$$,55.0,4.5,"“Once you get a great mix of every ingredient and the aromatic pork fat rice,...”",“India Pale Lager (HK$80) A light and refreshing craft beer with fruity accents.”,,98
"Street Food, Japanese",Uma Nota,$$ - $$$,56.0,4.5,“Great Brazilian / Japanese food.”,“Reminds me a lot of Tokyo Lima.”,,278
"French, European",Gaddi's,$$$$,57.0,4.5,"“The fourth course was Pan-seared Duck Foie Gras, with Burlat Cherries, Pecans...”",“Elegant and delicious lunch”,,299
"Bar, Healthy",Lobby Lounge (InterContinental Hong Kong),$$$$,58.0,4.5,“... fries with truffle oil are pretty g...”,"“... a traditional english selection, an...”",,648
Bar,Helen's Bar,$$ - $$$,59.0,4.5,"“Fresh cocktail, flavoursome snacks such as chicken wings and calamari, mains...”",“... Ring HKD$68 ·Spicy Roasted Chicken Wings HKD$68 ·Skewer Beef HKD$48 Cockt...”,,134
"Chinese, Asian",Cloudland Chinese Cuisine,$$ - $$$,60.0,4.5,“Not veggie friendly”,“Superb Meal”,,192
"International, European",The Verandah Restaurant(Tsim Sha Tsui),$$$$,61.0,4.5,“Highest quality in Western and Japanese food; Chinese food and curry dishes n...”,“Graduation dinner”,,465
"European, British",Duck & Waffle,$$ - $$$,62.0,4.5,"“... We love the Potatoes (side dish), Duck & Waffle and Foie Gras Cream Burlee.”","“... wrapped dates as our snack, beef tartare and Irish crab for our starter, ...”",,210
Bar,OZONE,$$$$,63.0,4.5,“Brilliant Birthday Brunch”,“Amazing view on clear days.”,,"4,129"
Bar,Quinary,$$ - $$$,64.0,4.5,“Worth going out of the way to visit”,"“great bar, great drinks, great wings.”",,210
"Italian, European",DiVino Patio,$$ - $$$,65.0,4.5,“A great night with great italian food”,"“We came here today for a lunch date and ordered tuna avocado tartare , spaghe...”",,455
French,Petrus,$$$$,66.0,4.5,“The amuse bouche inside the egg shell was impressive.”,“Opt for 4-courses ($1288)~ Reignite sparks over jumbo red prawn and foie gras.”,,351
"Cafe, European",Le Pain Quotidien,$$ - $$$,67.0,4.5,“Nice lunch deals”,“Very poor service”,,243
"Asian, International",Little Bao,$$ - $$$,68.0,4.5,“Yummy Asian fusion food”,“We had the Pork Belly Bao and the Teriyaki Bao and they were soooo goood!”,,512
Bar,The Pier - Cathay Pacific Lounge,$$$$,69.0,4.5,“... BA at Heathrow but not as good as Cathy Lounge at Heathrow as no noddle bar.”,“The hongkong ale as well as other beers were really good.”,,289
"Bar, Cafe",Lost Stars Livehouse Bar & Eatery,$$ - $$$,70.0,4.5,“▪️Crème Brûlée w/ Baileys Irish Cream & Ice Cream▪️[HK$118] The Crème Brûlée...”,“▪️Chocolate Moelleux w/ Vanilla Ice Cream▪️[HK$42] Molten chocolate cake is o...”,,98
"Indian, Asian",Manakamana Nepali Restaurant,$,71.0,4.5,“... contrast - the chili paneer was cri...”,"“Tikka Masala was a little too sweet, wi...”",,452
"Chinese, Asian",One Harbour Road (Grand Hyatt Hong Kong),$$$$,72.0,4.5,“The steamed lobster in black bean sauce was very good.”,"“Generally all dishes are well cooked, except my lobster was not that fresh bu...”",,375
"Bar, Wine Bar",WOOBAR,$$ - $$$,73.0,4.5,“afternoon hight tea set”,“Excellent dining experience in Woorbar at...”,,366
"European, International",Le 188° Restaurant & Lounge,$$$$,74.0,4.5,“... and smoke salmon eggs -duck foie gras croquette Starter: -bota shrimp tar...”,"“We had veal tartare served in a large long bone, and the Foie gras.”",,404
"Seafood, International",The Market,$$ - $$$,75.0,4.5,“No oyster.”,“I was a bit surprise oyster is not on the list.”,Taking safety measures,930
"Steakhouse, Argentinean",Buenos Aires Polo Club,$$$$,76.0,4.5,"“Slap on the Mashed Potatoes, Creamed Spinach and the Heirloom Tomato Salad (t...”","“... The Burrata, Bone Marrow, the Chateaubriand, and ended the night with pea...”",,222
Japanese,Yi Pai Ya,$$ - $$$,77.0,4.5,“Cozy Japanese restaurant”,“晚餐”,,85
"Steakhouse, Bar",Mirage Bar & Restaurant,$$ - $$$,78.0,4.5,“The slow cooked wagyu beef cheek with mushroom powder and potato foam was sur...”,“The wagyu beef cheek is one of my favorite and the New Zealand rack of lamb i...”,,275
"Chinese, Asian",Sing Yin Cantonese Dining,$$$$,79.0,4.5,“The Dim Sum in this set lunch was lovely.”,“Best dim sum brunch so far”,,308
"Vietnamese, Asian",Le Viet (Bank Centre),$$ - $$$,80.0,4.5,“越式咖喱牛腩鍋Curry Stewed Beef in Vietnamese Style on Hot Pot($69)，見張相好似好正咁就嗌咗🥘。跟餐...”,“Soup (included in the 越式咖喱牛腩鍋 set) The soup came with the curry stewed beef o...”,,308
"Seafood, European",Oyster & Wine Bar,$$$$,81.0,4.5,“... me down every time I visit Oyster Bar.”,“Amazing oysters selection with friendly...”,,276
"Indian, Asian",Bombay Dreams,$$ - $$$,82.0,4.5,“This all adds up to a great curry night out with friends.”,“Best Dal Makhani in the town”,,767
"Argentinean, Steakhouse",Tango Argentinian Steak House Elements,$$ - $$$,83.0,4.5,"“Morcilla, or blood sausage, is a rarity in Hong Kong.”",“Gorgeous ribeye and fillet!”,,259
"European, Asian",Kitchen (W Hotel Hong Kong),$$ - $$$,84.0,4.5,"“Such as fresh lobsters, clams, fresh oysters and crab legs etc....”","“Inspiringbuffet offering sashimi, sushi, lobster as well as many different ki...”",,716
"Seafood, Cafe",Cafe 103,$$$$,85.0,4.5,“... 😉 Prawn Sandwiches .... Crab Egg Tart Chocolate Mousse ... Pineapple Tar...”,"“The lobster, crab legs and oysters were all delicious and fresh and I couldn’...”",,544
"Vietnamese, Asian",Le Viet,$$ - $$$,86.0,4.5,“Fried rice with season in pineapple.”,“... good.Some waitress do speak English.”,,219
"Asian, International",Cafe Renaissance,$$ - $$$,87.0,4.5,"“There was also a tiny Sashimi section which provided 4 selections: salmon, tu...”","“... crab leg, lobster, tuna toro, oyster, prime rib, tenderloin, smoked salmon.”",,346
"International, European",The Tai Pan,$$$$,88.0,4.5,"“... the fresh oysters, signature lobster Caesar salad and the very special ha...”",“... its always a miserable one lobster tail but at the Tai Pan its plentiful.”,,114
"Thai, Asian",Cambo,$$ - $$$,89.0,4.5,“Great and convenient place for Thai Food!!”,“Nothing more than average”,,236
"Cafe, International",Cafe Causette,$$ - $$$,90.0,4.0,“The lobster soup is very rich.”,“... impossible burger is very juice ins...”,,513
"Italian, Pizza",The Point,$$ - $$$,91.0,4.5,“... SLOW COOKED DUCK BREAST PIZZA (9”) 慢煮鴨胸配意大利藍芝士pizza $124 自家製作的手工PIZZA，即叫即...”,"“... +$14, Hot latte 值得upgrade，很不錯。White wine clams ($118) fresh clams with ch...”",,144
"Chinese, Asian",Above and Beyond,$$$$,92.0,4.5,“Fantastic service and the best Peking Duck I've ever had”,“Starting with some hot and sour soup on a winter night was a great choice wit...”,Taking safety measures,866
"Bar, Contemporary",MO Bar at The Landmark Mandarin Oriental,$$$$,93.0,4.5,“Chillest Bar in the City!”,“Quality lunch/brunch”,,351
"Cafe, International",JW Cafe,$$ - $$$,94.0,4.5,"“The food included sushi, hand rolls, sashimi, dim sum, roast beef, Peking Duc...”","“... chinese wine, eel sushi roll, peking duck... were some of the recommended...”",,320
"Chinese, Cafe",The Cafe,$$ - $$$,95.0,4.5,“Burger time”,"“He chose a burger which he was extremely happy with - the best he has had, he...”",,275
"Chinese, Asian",Celestial Court Chinese Restaurant,$$$$,96.0,4.5,“Amazing Peking Duck”,“Fantastic Peking duck”,,236
"Chinese, Asian",Woo Cow Hotpot (China Insurance Building),$$ - $$$,97.0,4.5,“Delicious local hotpot”,“not too hot and here have a lot of room to place the foods.”,,125
"Taiwanese, Chinese",Ho Lee Fook,$$ - $$$,98.0,4.5,"“We had awesome dumplings, exquisite pra...”",“... XO cheung fun noodles and the steam...”,,"1,084"
"Bar, Seafood",Lobster Bar and Grill,$$$$,99.0,4.5,“My favourite has got to be the lobster bisque.”,“Main course sea scallops risotto excellent.”,,321
"Italian, European",Grissini (Grand Hyatt Hong Kong),$$$$,100.0,4.5,“Nice food and view - plus fire alarm!”,“Very good”,,360
"French, Steakhouse",ODELICE (Tseung Kwan O),$$ - $$$,101.0,5.0,“... ❤Foie Gras & Duck Breast Salad 必食頭三位，因為個鵝肝好食到不知如何形容，入口即溶，齒頰留香，用來配沙律真係一流👍...”,“迷人法國菜。特色French Crepe”,,76
"Italian, European",Pici Pasta Bar Wanchai,$$ - $$$,102.0,4.5,"“The tuna tartare and meatballs entrees were outstanding, while the pappardell...”",“The meatballs were incredibly fluffy and flavorful.”,,249
"Italian, European",Angelini,$$$$,103.0,4.5,“Their tasting menu is highly value for money (in fact at a price lower than r...”,"“... La Hong Kong, another restaurant that I think deserve a Michelin star.”",,400
Chinese,One Dim Sum Chinese Restaurant,$,104.0,4.5,“Amazing dimsum!! MUST VISIT”,"“Clean, efficient, fairly priced and in my opinion the best tasting Dim Sum!”",,"2,742"
"Chinese, Central Asian",Crazy Noodles,$$ - $$$,105.0,4.5,“Yummy Chinese noodles”,"“If you are a fan of Szechuan food, then this little Noodle joint is a place y...”",,109
Bar,"Captain's Bar - Mandarin Oriental, Hong Kong",$$ - $$$,106.0,4.5,“Great and a classy place with”,“Classy Afternoon Hangout”,,215
"European, Contemporary",GREEN,$$ - $$$,107.0,4.5,“... Singaporean Char-grilled Dry Beef 星洲牛肉乾(B) (N) (P) 把牛肉乾切成幼絲，無疑切合整套下午茶的賣相，...”,"“We ordered three different types of burger (the beef, the veggies, and the im...”",Taking safety measures,325
"Italian, Pizza",Motorino SoHo,$$ - $$$,108.0,4.5,“All pizzas come with a small tub of parmesan and a tub of chili flakes.”,“Best pizza and best meatballs in Hong Kong !”,,550
"French, European",L'Atelier de Joel Robuchon,$$$$,109.0,4.5,“The foie gras wrapped inside added to t...”,“... a corn and foie gras pudding was a ...”,,818
"Italian, European",8 1/2 Otto e Mezzo Bombana,$$$$,110.0,4.5,“The duck was from Challans in France and was cooked to perfection.”,“... olive and caponata 8) Challans Duck roasted with spices and pear puree 9)...”,,537
"Italian, Mediterranean",Giando Italian Restaurant & Bar,$$$$,111.0,4.5,"“... dishes were wonderful (carpaccio, pasta, toothfish), romantic ambience, e...”","“Food sublime, buttery scallops, pasta well balanced and steak just tasteful a...”",,415
"Bar, International",Sky Lounge,$$ - $$$,112.0,4.5,“Best Oyster Anywhere”,"“... view, great wine and fabulous oysters”",,338
"Chinese, Asian",Lung King Heen,$$$$,113.0,4.5,"“All other dim sums, for example the steamed lobster dumplings and spring roll...”",“... ③Steamed shrimp and pork dumplings with Yunnan ham (DIM SUM ) HK $ 99/p T...”,Taking safety measures,"1,010"
"Cafe, European",BRICK LANE Gallery,$$ - $$$,114.0,4.5,“English breakfast!”,“Slow service but friendly staff”,,252
"Asian, Vietnamese",Chom Chom,$$ - $$$,115.0,4.5,"“Loved especially the ribs from small dishes, and the meat in “Shaking beef” w...”","“Everything was excellent, our favorites were the pho rolls and black cod fish!”",,465
Seafood,Enchanted Garden Restaurant,$$ - $$$,116.0,4.5,"““If you are what you eat, then I only...”",“Love the character meals ... A real...”,,367
Steakhouse,Grand Hyatt Steakhouse (Grand Hyatt Hong Kong),$$$$,117.0,4.5,“Excellent steak and oyster”,“... of the best crab cakes I have taste...”,,290
"Chinese, Asian",China Club,$$$$,118.0,4.5,"“Pork, fish, Peking duck and a range of vegetarian dishes.”",“... rice noodle dish and also their recommended BBQ pork which was delicious.”,,327
"Chinese, Asian",Din Tai Fung (Yee Wo Branch),$$ - $$$,119.0,4.5,“Excellent Dim Sum at a good price in a convenient location”,“The dishes were excellent and we enjoyed several “Bao” and dumpling dishes an...”,,"2,107"
"Italian, European","Nicholini's, Conrad Hong Kong",$$$$,120.0,4.5,“the live Peking duck carving and the live suckling pig carving is amazing to...”,“my wife and I also loved the giant king prawns cooked in lobster bisque.”,,313
"Steakhouse, Bar",ALTO Bar & Grill,$$ - $$$,121.0,4.5,"“... attentive and the food (Ahi Tuna, Leg of lamb, pappardelle pasta) was great.”",“Bit disappointed with the salmon benedict though.”,,300
"Spanish, Mediterranean",Pica Pica,$$ - $$$,122.0,4.5,“Especially loved the black paella and the croquets.”,"“... starters... Iberico ham, squid croquettes, white anchovies, Ajillo prawns...”",,111
"Chinese, Asian",The Chairman,$$$$,123.0,4.5,"“With the soft tender fresh prawn contrasting with the chewy sun-dried prawns,...”",“👍 —I think the braised spare ribs was the best dish of the night.”,,433
"Bar, European",Staunton's Wine Bar-Cafe,$$ - $$$,124.0,4.5,“... options including vegan friendly.”,“Love the terrace.”,,242
"Italian, European",The Point (Tseung Kwan O),$$ - $$$,125.0,4.5,“Refreshing Night”,“Mac and Cheese”,,102
"Indian, Asian",Namaste Kitchen,$$ - $$$,126.0,4.5,“The naan and palak paneer are recommended”,“Tasty curry”,,183
"American, Bar",Beef & Liberty Stanley Burgers,$$ - $$$,127.0,4.5,“SW Potgieter”,“Good service even when very busy”,,145
Japanese,MOKUTAN,$$ - $$$,128.0,4.5,“Skewers omakase”,"“When there twice last yr, expensive but...”",,78
"British, American",Electric Ave,$$ - $$$,129.0,4.5,"“Chicken carbonara burger was great, per...”",“Don't sleep on the chicken carbonara bu...”,,167
"Chinese, Asian",Din Tai Fung(Miramar),$$ - $$$,130.0,4.5,“Delicious dumplings!”,“Perfect but pricey dumplings”,,396
"Italian, European",Pirata,$$ - $$$,131.0,4.5,“The meatballs are tender and the blend of the two types of meat giving the ri...”,“All excellent - the MMM are perfect(My Mama's Meatballs) and for main we ahd...”,,820
"International, Contemporary",The Lounge - Four Seasons Hotel Hong Kong,$$$$,132.0,4.5,"“... - Alaska King crab salad, is lovely.”",“Best Caesar salad ever!”,Taking safety measures,189
"American, Steakhouse",The Grill Room,$$ - $$$,133.0,4.5,"“... Au Vant $168 Smoked & sashimi salmon, yoghurt, dill Cream, butter, black ...”",“The salmon was just phenomenal! <3 The skin was crispy and the meat done just...”,,211
"Steakhouse, Bar",Mr & Mrs Fox,$$ - $$$,134.0,4.5,"“... outside, with a bar and a little ou...”","“Good beer, good bar food.”",,271
"Chinese, Asian",Islamic Centre Canteen,$,135.0,4.5,“Halal dimsum and eateries at Islamic ctr”,“Good Halal Dim Sum for Good Price”,,276
"Chinese, Asian",Din Tai Fung (Silvercord),$$ - $$$,136.0,4.5,“Still fine.”,“michelin star !”,,"1,686"
Contemporary,Flint,$$$$,137.0,4.5,“The lobster bisque is very suitable for...”,“... seafood area: Lobster tails and cla...”,,268
"International, Italian",Cucina (Marco Polo Hongkong Hotel),$$$$,138.0,4.5,“... salad with lemon sorbet and Tiramisu.”,“The crab salad with beetroot and caviar...”,,379
Bar,The Bar at The Peninsula Hong Kong,$$$$,139.0,4.5,“3 Single Malts Later”,“Great View and Cocktails”,,177
"Fast Food, Italian",Little Mario's Pizzeria,$$ - $$$,140.0,4.5,“Enjoy the night”,“Pizza time🥰🥰”,,77
"Chinese, Asian",Spring Moon,$$$$,141.0,4.5,“Grand dishes with professional service”,“Best Dim Sum in Hong Kong”,,390
"Italian, European",ChocoDuck Bistro,$$ - $$$,142.0,5.0,"“... seafood, salad, steak and dessert.”",“Don’t miss out on her tiramisu”,,81
"Bar, British",The Gallery,$$ - $$$,143.0,4.5,"“We had a couple of meals here, Burgers, Ribs and pizzas.”","“... dry aged steaks), BBQ ribs, and tuna steaks (all of which are my favourit...”",,130
"French, European",Amina Modern European,$$$$,144.0,5.0,“Best fine-dine dinner”,“Private dinner”,,79
"Indian, Asian",Sangeetha Vegetarian Restaurant Hong Kong,$$ - $$$,145.0,4.5,“Excellent Vegetarian Restaurant maintai...”,“The Best vegetarian Restaurant in HongKong”,,342
"Chinese, Asian",Sang Kee Congee Shop,$,146.0,4.5,“This hole-in-the-wall place offers a quintessential Hong Kong dining experien...”,"“Congee is the quintessential Comfort Food in the Southern China, provinces in...”",,529
"Japanese, Fast Food",Chotto Maki,$$ - $$$,147.0,5.0,“Healthy sushi roll bar”,“... can choose what you roll it be a susi.”,,81
"Asian, Thai",Chachawan,$$ - $$$,148.0,4.5,“The Khao Pad (wok fried rice of crab me...”,“She recommended the crab fried rice and...”,,424
"American, Steakhouse",Morton's - The Steakhouse,$$$$,149.0,4.5,“Their crab cakes sliders are also one of my favourites.”,"“sensational lobster tail, great place for coeliacs too”",,849
"Chinese, Asian",Shang Palace,$$$$,150.0,4.0,“Delicious Peking Duck”,“Dim Sum Perfection.”,,420
,Add Some Thai Restaurant,$$ - $$$,151.0,4.5,“Cheap Thai meal”,“Comfortable Thai restaurant”,,97
"Japanese, Sushi",Zuma,$$$$,152.0,4.0,“The star is a Chilean sea bass cooked in a banana leaf.”,"“Try the lobster, tuna with caviar and white truffle.”",,"1,061"
"Gastropub, Bar",The Globe,$$ - $$$,153.0,4.5,“Good Soho Pub”,“Great healthy lunch at the pub”,,307
"Spanish, Mediterranean",The Optimist,$$ - $$$,154.0,4.5,"“... salmorejo, saladas.., I had huevos rotos, broken eggs, every single thing...”","“Cheese, jamon, salads, gambas, huevos rotos, croquettes, chorizo, ribs, flank...”",,436
"Chinese, Asian",Bo Innovation,$$$$,155.0,4.5,“... from the fried rice being served at...”,“... bite signature quail egg dim sum wa...”,,493
Asian,Mama San Restaurant & Bar,$$ - $$$,156.0,4.5,"“I had one Hot Mama -gin, ginger, chili and homemade ginger beer with dried ci...”","“Two ordered the poultry set (stir fried minced chicken with chili garlic), on...”",,387
"Italian, European",Spasso Italian Bar & Restaurant,$$ - $$$,157.0,4.0,"“... and had Tagliatelle White Truffle, ...”",“We particularly enjoy the tuna tartare...”,,828
"French, Cafe",Cafe Crepe,$$ - $$$,158.0,4.5,“Great breakfast”,“Best Chai tea Latte that I have ever had !”,,135
